utility,region,pop
Alamosa,San Luis,18364
Arapahoe County,North Central,25714
Aspen,Northwest,5500
Aurora,North Central,268003.51
Basalt,Northwest,5714
Berthoud,Northeast,7946
Boulder,North Central,89383.48
Brighton,North Central,21429
Broomfield,North Central,53355.66
Brush,Northeast,12000
Castle Rock,North Central,34786
Cherokee Metro District,South Central,34286
CO Springs - JD Phillips,South Central,102203.52
CO Springs - Las Vegas,South Central,303855.31
Copper Mountain,Northwest,7857
Cripple Creek,South Central,7143
Durango,Southwest,23429
Eagle River SD - Avon,Northwest,30714
Eagle River SD - Edwards,Northwest,21071
Eagle River SD - Vail,Northwest,19286
Erie,Northeast,13779
Estes Park + Upper Thompson,Northeast,5818.11
Fort Collins - Boxelder,Northeast,17997.11
Fort Collins - Drake,Northeast,92126.85
Fort Collins - Mulberry,Northeast,26621.37
Frisco,Northwest,14286
Glenwood Springs,Northwest,16714
Grand Junction - Persigo,Northwest,89286
Greeley,Northeast,83319.42
Gunnison,West,30000
Highlands Ranch,North Central,60571
Keystone,Northwest,18571
Longmont,North Central,75543.77
Louisville,North Central,17600.78
Loveland,Northeast,66428.61
Metro WW - Clear Creek,North Central,345453.76
Metro WW - Platte/Central,North Central,709904.28
Nederland,North Central,1786
Ouray,West,2152
Pagosa Area,Southwest,27857
Pueblo,South,96514.96
Purgatory Resort,Southwest,1786
Salida,South Central,19286
Silverthorne/Dillon,Northwest,28571
Silverton,Southwest,3000
Snowmass Village,Northwest,17571
South Adams County,North Central,54560.53
South Fort Collins,Northeast,23193.95
South Platte,North Central,247443
Steamboat Springs,Northwest,43741
Telluride,West,15000
Tri-Lakes - Monument,South Central,5936
Tri-Lakes - Palmer Lake,South Central,4779
Tri-Lakes - Woodmoor North,South Central,10000
Tri-Lakes - Woodmoor South,South Central,9286
Trinidad,South,14286
Upper Blue SD - Breckenridge,Northwest,35643
Wellington Water and Sewer,Northeast,9292
Windsor,Northeast,20000
Woodland Park,South Central,6379
Elizabeth,NA,NA
La Junta,NA,NA
Montrose,NA,NA
The Pinery,NA,NA
Walden,NA,NA
